ComputerName,Description,Site,OU
MP-DT-PHY-DWN-01,Physician workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-DWN-02,Physician workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-DWN-03,Physician workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-DWN-04,Physician workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-WST-01,Physician workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-WST-02,Physician workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-WST-03,Physician workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-WST-04,Physician workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-EST-01,Physician workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-EST-02,Physician workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-EST-03,Physician workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-PHY-EST-04,Physician workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-DWN-01,Nursing station - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-DWN-02,Nursing station - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-DWN-03,Nursing station - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-DWN-04,Nursing station - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-WST-01,Nursing station - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-WST-02,Nursing station - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-WST-03,Nursing station - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-EST-01,Nursing station - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-NRS-EST-02,Nursing station - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-DWN-01,Front desk PC - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-DWN-02,Front desk PC - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-DWN-03,Front desk PC - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-WST-01,Front desk PC - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-WST-02,Front desk PC - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-EST-01,Front desk PC - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-FRD-EST-02,Front desk PC - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
